,Abstractive,Lex-t5,Original
10,"On September 10, the morning of my seventh birthday, I came downstairs to the kitchen, where my mother was washing the dishes and my father was reading the paper or something, and I sort of presented myself to them in the doorway, and they said, ""Hey, happy birthday!"" And he said, ""So?"" And I said, ""So? (Laughter) Now, I didn't know it at the time, but I really wasn't turning seven on September 10th. (Laughter) ""So I told them that your birthday was September 10th, and then I wasn't sure that you weren't just going to go blab it all over the place, so I started to tell you your birthday was September 10th. Every year on October 10th, when it was your birthday but you didn't realize it, I made sure that you ate a piece of cake that day."" Now, I was raised in the Pacific Northwest, around a lot of Church of Latter-day Saints people and, you know, I've worked with them and even dated them, but I never really knew the doctrine, or what they said to people when they were out on a mission, and I guess I was sort of curious, so I said, ""Well, please, come in."" And they said, ""Well, then we have a story to tell you."" And I said, ""No, I don't,"" because I was sort of upset about this Lamanite story and this crazy gold plate story, but the truth was, I hadn't really thought this through, so I backpedaled a little and I said, ""Well, what exactly do you mean by 'righteous'? If someone came to my door and I was hearing Catholic theology and dogma for the very first time, and they said, ""We believe that God impregnated a very young girl without the use of intercourse, and the fact that she was a virgin is maniacally important to us.""","""i really wasn't turning seven on September 10th,"" she says. ""i was raised in the Pacific Northwest, around a lot of Church of Latter-day Saints people"" ""we believe that God impregnated a very young girl without the use of intercourse""","When two young Mormon missionaries knock on Julia Sweeney's door one day, it touches off a quest to completely rethink her own beliefs, in this excerpt from Sweeney's solo show ""Letting Go of God.""  "
11,"To explain the wish, I'm going to have to take you somewhere where many people haven't been, and that's around the world. So you're not just doing a building for the residents or for the people who are going to use it, but for the community as a whole. And I didn't know what I was doing -- like I said, mid-20s -- and I'm the Internet generation, so we started a website. (Laughter) So what you don't know is, we've got these thousands of designers working around the world, connected basically by a website, and we have a staff of three. The idea is it's not just a clinic, it's a community center. They said, this is our design, because it's not only about engaging a community; it's about empowering a community, and about getting them to be a part of the rebuilding process. And what that means is we actually live and work with the community, and they're part of the design process. Because you know what? So it's going to take a lot of computing power, because I want the idea that any laptop anywhere in the world can plug into the system and be able to not only participate in developing these designs, but utilize the designs. And so, you know, I want these -- I just should note: I have two laptops and one of them is there, and that has 3000 designs on it.","cnn's richard quest started a website that connects thousands of designers around the world. quest: it's not just a clinic, it's a community center. he says it's going to take a lot of computing power. quest: it's going to take a lot of computing power.","Accepting his 2006 TED Prize, Cameron Sinclair demonstrates how passionate designers and architects can respond to world housing crises. He unveils his TED Prize wish for a network to improve global living standards through collaborative design."
12,"But the students are not there. (Laughter) This is where I realized that there was really a need to communicate, because the data of what's happening in the world and the child health of every country is very well aware. Can you see there? But in the middle, we have most of the world population, and they have now 24 percent of the income. And you have the OECD there, and you have sub-Saharan Africa there, and we take off the Arab states there, coming both from Africa and from Asia, and we put them separately, and we can expand this axis, and I can give it a new dimension here, by adding the social values there, child survival. And if we move back again, here, and we put trails on them, like this, you can see again that the speed of development is very, very different, and the countries are moving more or less at the same rate as money and health, but it seems you can move much faster if you are healthy first than if you are wealthy first. Now, this is, more or less, if you look at the average data of the countries -- they are like this. So if I go and look here, we can see that Uganda today is where South Korea was in 1960. But this is what we would like to see, isn't it? These countries are lifting more than the economy, and it will be very interesting to follow this over the year, as I would like you to be able to do with all the publicly funded data.","most of the world population has now 24 percent of the income. but the speed of development is very, very different. it seems you can move much faster if you are healthy first than if you are wealthy first.","You've never seen data presented like this. With the drama and urgency of a sportscaster, statistics guru Hans Rosling debunks myths about the so-called ""developing world."""
13,"You don't do book talks at TED, but I'm going to have just one slide about my book, because there is one message in it which I think this group really needs to hear. They don't have to be. It doesn't have to be. And there was a passage in it which he did not present here and I think it is so good, I'm going to read it to you: ""Over billions of years on a unique sphere, chance has painted a thin covering of life: complex, improbable, wonderful and fragile. And what I want to do now is say a bit about this book from the design standpoint, because I think it's actually a brilliant book. This is the evolution of religion that's been going on for thousands of years, and he's just the latest brilliant practitioner of it. We don't need a belief in God to be good or to have meaning in us. I'm afraid that a lot of people take that sentiment to mean that we don't have to do the sorts of things that Al Gore is trying so hard to get us to do. And what I find deeply troubling in this book is that he seems to be arguing that if you want to be moral, if you want to have meaning in your life, you have to be an Intelligent Designer, you have to deny the theory of evolution by natural selection. I don't believe it and I think this idea, popular as it is -- not in this guise, but in general -- is itself one of the main problems that we face.","john avlon: al gore's book on evolution is a brilliant example of evolution. avlon: we don't need a belief in God to be good or to have meaning in us. avlon: if you want to be moral, if you want to have meaning in your life, you have to be an Intelligent Designer.","Philosopher Dan Dennett calls for religion -- all religion -- to be taught in schools, so we can understand its nature as a natural phenomenon. Then he takes on The Purpose-Driven Life, disputing its claim that, to be moral, one must deny evolution."
14,"So this is what the supermarket is like. And do you know what the answer to this question now is? And you say, ""If you were me, Doc, what would you do?"" And that means that every day, when you wake up in the morning, you have to decide what kind of person you want to be. (Laughter) We all know what's good about it, so I'm going to talk about what's bad about it. The second effect is that, even if we manage to overcome the paralysis and make a choice, we end up less satisfied with the result of the choice than we would be if we had fewer options to choose from. One of them is, with a lot of different salad dressings to choose from, if you buy one and it's not perfect -- and what salad dressing is? All this choice made it possible for me to do better. There are lots of places in the world, and we have heard about several of them, where their problem is not that they have too much choice. Because the truth of the matter is, if you shatter the fishbowl so that everything is possible, you don't have freedom.","bob greene: when you wake up in the morning, you have to decide what kind of person you want to be. greene: even if we overcome the paralysis and make a choice, we end up less satisfied. he says there are lots of places in the world where their problem is not that they have too much choice. greene: if you shatter the fishbowl so that everything is possible, you don't have freedom.","Psychologist Barry Schwartz takes aim at a central tenet of western societies: freedom of choice. In Schwartz's estimation, choice has made us not freer but more paralyzed, not happier but more dissatisfied."
15,"Now I'm going to talk about -- I'm going to build up the Seattle Central Library in this way before your eyes in about five or six diagrams, and I truly mean this is the design process that you'll see. So what you're seeing now is actually the design of the building. Our first operation was to re-digest it back to them, show it to them and say, ""You know what? And as you can see, it is literally the diagram on the right. So, this is the building. I can show this to you later. I'm going to go very, very quickly through this. It was an unusual client for us, because they came to us and they said, ""We need you to do a new building. And the second is, they were what we call a multi-form theater, they do different kinds of performances in repertory. And again, when we unveiled it, there was a sort of nervousness that this was about an architect making a statement, not an architect who was attempting to solve a series of problems.","the Seattle Central Library is a multi-form theater that performs in repertory. it was an unusual client for us because they needed a new building. the building was a statement, not an architect trying to solve a series of problems.","Architect Joshua Prince-Ramus takes the audience on dazzling, dizzying virtual tours of three recent projects: the Central Library in Seattle, the Museum Plaza in Louisville and the Charles Wyly Theater in Dallas."
16,"(Laughter) I mean, what does this have to do with technology, entertainment and design? Well, this is what I found. By pulling a string, it vibrates and produces a sound wave, which passes through a piece of wood called a bridge, and goes down to the wood box and gets amplified, but ... let me think. (Laughter) OK, this is sort of technology, but I can call it a 16th-century technology. (Laughter) The violin is very beautiful. I mean, when I first got my violin and tried to play around on it, it was actually really bad, because it didn't sound the way I'd heard from other kids -- it was so horrible and so scratchy. But besides, my brother found this very funny: Yuk! (Laughter) Now I realize that as the musician, we human beings, with our great mind, artistic heart and skill, can change this 16th-century technology and a legendary design to a wonderful entertainment. (Music) (Music ends) (Applause) At first, I thought I was just going to be here to perform, but unexpectedly, I learned and enjoyed much more. (Laughter) But actually, the most impressive thing to me is that -- well, actually, I would also like to say this for all children is to say thank you to all adults, for actually caring for us a lot, and to make our future world much better.","a string vibrates and produces a sound wave, which passes through a piece of wood. the sound wave goes down to the wood box and gets amplified. the violin is very beautiful, and my brother found this very funny.","Violinist Sirena Huang gives a technically brilliant and emotionally nuanced performance. In a charming interlude, the 11-year-old praises the timeless design of her instrument."
17,"I'll show you some stuff that's just ready to come out of the lab, literally, and I'm really glad that you guys are going to be among the first to see it in person, because I really think this is going to really change the way we interact with machines from this point on. You know, like that. What's really interesting here is what you can do with it and the kind of interfaces you can build on top of it. You can imagine a new kind of sculpting tool, where I'm kind of warming something up, making it malleable, and then letting it cool down and solidifying in a certain state. This is something that I think is really the way we should be interacting with machines from now on. So, again, with a multi-point interface, you can do a gesture like this -- so you can be able to tilt around like that -- (Surprised laughter) It's not just simply relegated to a kind of 2D panning and motion. We just came up with that on the spot, it's probably not the right thing to do, but there's such interesting things you can do with this interface. (Laughter) And so the last thing I want to show you is -- I'm sure we can all think of a lot of entertainment apps that you can do with this thing. It's kind of a puppeteering thing, where I can use as many fingers as I have to draw and make -- Now, there's a lot of actual math going on under here for this to control this mesh and do the right thing. It's a great example of the kind of research I really love: all this compute power to make things do the right things, intuitive things, to do exactly what you expect.",cnn's nina dos santos will show you some stuff that's just ready to come out of the lab. dos santos: what's really interesting here is what you can do with it and the kind of interfaces you can build on top of it. she says it's a great example of the kind of research she loves: all this compute power. dos santos: it's going to really change the way we interact,"Jeff Han shows off a cheap, scalable multi-touch and pressure-sensitive computer screen interface that may spell the end of point-and-click."
18,"So when Chris raised to me how wonderful everything that was happening in the world, that we were seeing a shift in zeitgeist, on the one hand I absolutely agree with him, and I was so thrilled to see what happened with the G8 -- that the world, because of people like Tony Blair and Bono and Bob Geldof -- the world is talking about global poverty; the world is talking about Africa in ways I have never seen in my life. And if you remember one thing from what I want to talk about today, it's that the only way to end poverty, to make it history, is to build viable systems on the ground that deliver critical and affordable goods and services to the poor, in ways that are financially sustainable and scaleable. And I want to talk a little bit about that, and some of the examples, so you can see what it is that we're doing. That's who we talk about when we think about ""the poor."" One is in India, where there are 240 million farmers, most of whom make less than two dollars a day. On the distribution side, though, as a world, we have a lot of work to do. And so, when I told her about our idea -- that maybe we could take a Tupperware model from the United States, and find a way for the women themselves to go out and sell these nets to others -- she quickly started calculating what she herself could make and signed up. She brought 10 of the women with whom she interacts together to see if she could sell these nets, five dollars apiece, despite the fact that people say nobody will buy one, and we learned a lot about how you sell things. And we've started making curtains, and not only is it beautiful, but people can see status -- that you care about your children. And so I urge all of you to think next time as to how to engage with this notion and this opportunity that we all have -- to make poverty history -- by really becoming part of the process and moving away from an us-and-them world, and realizing that it's about all of us, and the kind of world that we, together, want to live in and share.",john avlon: only way to end poverty is to build viable systems on the ground. avlon: 240 million farmers in india make less than two dollars a day. avlon: we need to build systems that deliver critical and affordable goods to the poor. avlon: we need to make poverty history by really becoming part of the process.,"Jacqueline Novogratz applauds the world's heightened interest in Africa and poverty, but argues persuasively for a new approach."
19,"I have another piece that I'd like to play for you. And once I choose my main theme, I have to decide: Out of all the styles in music, what kind of style do I want? And then you want to decide: How are you going to draw the character? And then you have to do the initial sketch of the character, which is like your structure of a piece, and then you add pen and pencil, and whatever details that you need -- that's polishing the drawing. And another thing that both of these have in common is your state of mind, because I know I'm one of those teenagers that are really easily distracted. So if I'm trying to do homework and I don't feel like it, I'll try to draw or, you know, waste my time. (Laughter) JL: One more. GH: OK -- C, G, B, A and E. JL: Thank you very much! So, I'm going to have a moment to think, and I'll try to make something out of it. (Plays the five notes) (Music) (Music ends) (Applause) The next song, or the encore that I'm going to play is called ""Bumble Boogie,"" by Jack Fina.","the next song is called ""Bumble Boogie,"" by Jack Fina. if you don't feel like it, try to draw or waste your time.","Pianist and composer Jennifer Lin gives a magical performance, talks about the process of creativity and improvises a moving solo piece based on a random sequence of notes."
20,"And so we're going to have to do a lot of work that goes beyond just the Internet. And the reason for this is that most people understand the need for neutrality. So how do we do this? The reason for this is if we say we're only going to write the ""truth"" about some topic, that doesn't do us a damn bit of good of figuring out what to write, because I don't agree with you about what's the truth. So this neutrality policy is really important for us because it empowers a community that is very diverse to come together and actually get some work done. This is really important because a lot of new pages are just garbage that has to be deleted, you know, ""ASDFASDF."" Is it what? So as an example of how this can be important: we recently had a situation where a neo-Nazi website discovered Wikipedia, and they said, ""Oh, well, this is horrible, this Jewish conspiracy of a website, and we're going to get certain articles deleted that we don't like. And we see they have a voting process, so we're going to send -- we have 40,000 members and we're going to send them over and they're all going to vote and get these pages deleted."" And for a lot of people in the world, if I give you an encyclopedia that's written at a university level, it doesn't do you any good without a whole host of literacy materials to build you up to the point where you can actually use it.",a lot of new pages are just garbage that has to be deleted. a neo-nazi website discovered a neo-nazi website and they're going to get certain articles deleted. a neutrality policy is really important for us because it empowers a community.,"Jimmy Wales recalls how he assembled ""a ragtag band of volunteers,"" gave them tools for collaborating and created Wikipedia, the self-organizing, self-correcting, never-finished online encyclopedia."
21,"I'm Rich Baraniuk and what I'd like to talk a little bit about today are some ideas that I think have just tremendous resonance with all the things that have been talked about the last two days. But I'm not here to talk about music today. So, that's what I'd like to talk about and, really, how we get from where we are now to where we need to go. Imagine making it free, so that anyone in the world can have access to all of this knowledge, and imagine using information technology so that you can update this content, improve it, play with it, on a timescale that's more on the order of seconds instead of years. Over the last six-and-a-half years, we've been working really hard at Rice University on a project called Connexions, and so what I'd like to do for the rest of the talk is just tell you a little bit about what people are doing with Connexions, which you can kind of think of as the counterpoint to Nicholas Negroponte's talk yesterday, where they're working on the hardware of bringing education to the world. And to them, this idea of being able to remix and customize to the local context is extraordinarily important, because just providing free content to people has actually been likened by people in the developing world to a kind of cultural imperialism -- that if you don't empower people with the ability to re-contextualize the material, translate it into their own language and take ownership of it, it's not good. And I think that really, in a sense, what we're trying to do is make Minsky's dream come to a reality, where you can imagine all the books in a library actually starting to talk to each other. So, what we have to do is get it right from the very beginning. In fact, you're free to share it, to do all of these things: to copy it, to change it, even to make commercial use of it, as long as you attribute the author. All of you here are tremendously imbued with tremendous amounts of knowledge, and what I'd like to do is invite each and every one of you to contribute to this project and other projects of its type, because I think together we can truly change the landscape of education and educational publishing.",rich baraniuk: connexions is a project that aims to bring education to the world. he says it's a counterpoint to n. negroponte's talk on cultural imperialism. baraniuk: we need to empower people to re-contextualize the material.,"In 2006, open-learning visionary Richard Baraniuk explains the vision behind Connexions (now called OpenStax), an open-source, online education system. It cuts out the textbook, allowing teachers to share and modify course materials freely, anywhere in the world."
22,"And that's why we have to really talk about this a lot -- evangelize, I will go so far as to say, quite a lot -- in order to get people's attention, and make people realize that they are in a trance in this regard. So that's all I'm going to say about that. So we can put it this way: we can say that, you know, we have this chain of events. Because, you know, most people, when they hear that I predict that a lot of people alive today are going to live to 1,000 or more, they think that I'm saying that we're going to invent therapies in the next few decades that are so thoroughly eliminating aging that those therapies will let us live to 1,000 or more. If you're already 100, or even if you're 80 -- and an average 80-year-old, we probably can't do a lot for you with these therapies, because you're too close to death's door for the really initial, experimental therapies to be good enough for you. So this is a genuine conclusion that I come to, that the first 150-year-old -- we don't know how old that person is today, because we don't know how long it's going to take to get these first-generation therapies. And this is what it is. So, these seven things were all under discussion in gerontology a long time ago and that is pretty good news, because it means that, you know, we've come a long way in biology in these 20 years, so the fact that we haven't extended this list is a pretty good indication that there's no extension to be done. I haven't got time to go through them at all, but my conclusion is that, if we can actually get suitable funding for this, then we can probably develop robust mouse rejuvenation in only 10 years, but we do need to get serious about it. And I think we know how to do it.","aaron carroll: gerontologists say we're going to invent therapies that eliminate aging. carroll: we don't know how old that person is today, but we don't know how long it will take. he says we can develop robust mouse rejuvenation in 10 years, but we need to get serious. carroll: if we can get funding for this, we can probably develop mouse rejuvenation in 10 years.","Cambridge researcher Aubrey de Grey argues that aging is merely a disease -- and a curable one at that. Humans age in seven basic ways, he says, all of which can be averted."
23,"It shows how you make one holistic form, like the car industry, and then you break up what you need. This is all my process. It goes with the flow of the polymer and you'll see -- there's an image coming up right now that shows the full thing. You do. You do. Like this."" And that's what I do with my furniture. This is my studio. So I'm just going to interject a little bit with some of the things that you'll see in the video. People like Tom and Greg -- we're traveling like you can't -- we fit it all in.","""you do. You do. Like this"" is my studio. it shows how you make one holistic form, like the car industry. ""you do. You do. Like this""","Designer Ross Lovegrove expounds his philosophy of ""fat-free"" design and offers insight into several of his extraordinary products, including the Ty Nant water bottle and the Go chair."
