,Abstractive,Lex-Bart,Original
101,"I think that, if we look at what happened on the Internet, with such an incredible last half a dozen years, that it's hard to even get the right analogy for it. And so I think the tempting analogy for the boom-bust that we just went through with the Internet is a gold rush. But you had the same thing with the Gold Rush. In fact it was so bad that most of the horses died before they could get where they were going. And, but it really -- it got the electricity. But that is not the -- and that's not the part that's really most similar to the Web. So all of the cabling and all of the heavy infrastructure -- I'm going back now to, sort of, the explosive part of the Web in 1994, when it was growing 2,300 percent a year. And this was huge. The first one was the electric fan -- this was the 1890 electric fan. This is -- you guys know what this is. Because, you know, resilience -- if you think of it in terms of the Gold Rush, then you'd be pretty depressed right now because the last nugget of gold would be gone. And if you believe that, then you believe that where we are -- this is what I think -- I believe that where we are with the incredible kludge -- and I haven't even talked about user interfaces on the Web -- but there's so much kludge, so much terrible stuff -- we are at the 1908 Hurley washing machine stage with the Internet. In 1999: ""Amazon.bomb."" (Laughter) She -- but you know, if you really do believe that it's the very, very beginning, if you believe it's the 1908 Hurley washing machine, then you're incredibly optimistic. And I do think that that's where we are.","I think that, if we look at what happened on the Internet, with such an incredible last half a dozen years, that it's hard to even get the right analogy for it. I think the tempting analogy for the boom-bust that we just went through with the Internet is a gold rush. But you had the same thing with the Gold Rush. ""I believe that where we are with the incredible kludge -- and I haven't even talked about user interfaces on the Web,"" he says. ""We are at the 1908 Hurley washing machine stage with the Internet""",The dot-com boom and bust is often compared to the Gold Rush. But Amazon.com founder Jeff Bezos says it's more like the early days of the electric industry.
102,It's not a joke yet; those aren't the jokes. I went to Aspen recently and stumbled into this song. ♫ Black men go to Aspen ♫ ♫ and rent colorful chalets. ♫ It's a winter wonderland ♫ ♫ in the belly of the beast. ♫ ♫ And black men ski. ♫ ♫ Black men ski. ♫ ♫ We can tell you how cool looks ♫ ♫ but cannot show you how it feels ♫ ♫ when black men ski. ♫ ♫ Black men now are students ♫ ♫ of gay sensibility. ♫ ♫ Black men ski. ♫ ♫ Black men ski. ♫ Black men ski. ♫ ♫ Black men ski. ♫ ♫ Black men ski. ♫ Black men ski. ♫ ♫ Black men ski.,It's not a joke yet; those aren't the jokes. I went to Aspen recently and stumbled into this song. It's a winter wonderland. And black men ski.,What happens when a black man visits Aspen? Singer/songwriter Stew and his band are about to let you know.
103,"We tend to do any technology that we think is sufficiently important; we'll typically do it twice. And these are the inflection points that tell you what the next chapter in that technology's life is going to be, and maybe how you can do something about it. Each one of those is an opportunity to do something about it; it's an opportunity for the technology to change. I'd like to demonstrate what I mean by this by telling the story of the DVD, which is a technology which has done all of these. The DVD, as you know, was introduced in the mid-1990s and it was quite expensive. The next thing it hit, a year later, was critical mass. I'd like to talk about some other technologies out there, just technologies on our radar -- and I'll use this lens, these four, as a way to kind of tell you where each one of those technologies is in its development. They're not necessarily the top-10 technologies out there -- they're just examples of technologies that are in each one of these periods. Here's another technology that's approaching a critical price. And the falling price of drugs has a lot to do with that. If you look here, here's Linux in red, and it's hit 20 percent. And if you look at the trends here, by about 2008 -- and I don't think this is a crazy forecast -- they'll be two percent of auto sales. And once you have electric motors, you can do anything: you can change the structure of the car in any way you want. And what's interesting is that it was just 1990 when it was more than two dollars a minute. And I think that's probably one of the most important technology trends that we're looking at today.","The DVD, as you know, was introduced in the mid-1990s and it was quite expensive. The next thing it hit, a year later, was critical mass. Each one of those is an opportunity to do something about it; it's an opportunity for the technology to change. The falling price of drugs has a lot to do with that. Once you have electric motors, you can do anything: you can change the structure of the car in any way you want.","Chris Anderson, then the editor of Wired, explores the four key stages of any viable technology: setting the right price, gaining market share, displacing an established technology and, finally, becoming ubiquitous."
104,"And if there is one tremendous -- if there is one great catastrophe about the places that we've built, the human environments we've made for ourselves in the last 50 years, it is that it has deprived us of the ability to live in a hopeful present. These will be places that are not worth caring about. When we have enough of them, we're going to have a nation that's not worth defending. You know, in these places in other cultures, people just go there voluntarily because they like them. We don't have to have a craft fair here to get people to come here. (Laughter) You know, you don't have to have a Kwanzaa festival. It wasn't Pei and Cobb, another firm designed this, but there's not enough Prozac in the world to make people feel OK about going down this block. And what is the message that is coming, what are the vocabularies and grammars that are coming, from this building and how is it informing us about who we are? And that's it. And we're not going to cure the problems of the urban by dragging the country into the city, which is what a lot of us are trying to do all the time. And so what you see fairly early, in the mid-19th century, is this idea that we now have to have an antidote to the industrial city, which is going to be life in the country for everybody. This is really, in fact, a television broadcasting a show 24/7 called ""We're Normal."" We're going to have -- (Applause) -- we're going to have to live closer to where we work. We're going to have to re-learn what the building blocks of these things are: the street, the block, how to compose public space that's both large and small, the courtyard, the civic square and how to really make use of this property. So I urge you all to do what you can.","When we have enough of them, we're going to have a nation that's not worth defending. And we're not going to cure the problems of the urban by dragging the country in. And that's it. to the city, which is what a lot of us are trying to do all the time. This is really, in fact, a television broadcasting a show 24/7 called ""We're Normal"" We're going to have to live closer to where we work.","In James Howard Kunstler's view, public spaces should be inspired centers of civic life and the physical manifestation of the common good. Instead, he argues, what we have in America is a nation of places not worth caring about."
105,♫ Like the heather ♫ ♫ on the hillside ♫ ♫ as they drove us ♫ ♫ from the Highlands ♫ ♫ Like the ice flow ♫ ♫ from the Arctic ♫ ♫ where we landed ♫ ♫ in Newfoundland ♫ ♫ There's a color ♫ ♫ to my sorrow ♫ ♫ There's a name for ♫ ♫ all this sadness ♫ ♫ Like the ocean ♫ ♫ in between us ♫ ♫ I am blue ♫ ♫ Blue is a river ♫ ♫ Blue remembered ♫ ♫ Blue water ♫ ♫ running clear ♫ ♫ Blue like a planet ♫ ♫ to a spaceman ♫ ♫ Blue river ♫ ♫ of my tears ♫ (Fiddle and synthesizer) ♫ So I came here ♫ ♫ to the city ♫ ♫ where the dream burns ♫ ♫ like a furnace ♫ ♫ And I dazzled ♫ ♫ in these dark streets ♫ ♫ like a diamond ♫ ♫ in a coalface ♫ ♫ Then the cold wind ♫ ♫ from the islands ♫ ♫ blew a storm cloud ♫ ♫ across the new moon ♫ ♫ Like the gun smoke ♫ ♫ above the houses ♫ ♫ in my home ♫ ♫ Blue is a river ♫ ♫ Blue remembered ♫ ♫ Blue water ♫ ♫ running clear ♫ ♫ Blue like a planet ♫ ♫ to a spaceman ♫ ♫ Blue river ♫ ♫ of my tears ♫ ♫ Blue river ♫ ♫ of my tears ♫ (Fiddle and synthesizer) (Applause),"The song is called ""There's a name for all this sadness"" It is set to the tune of ""I am blue"" The song was written in the 1970s and 1980s.","Violinist Natalie MacMaster and TED Musical Director Thomas Dolby play Dolby's original song ""Blue Is a River"" in this ethereal duet -- with a little dancing."
106,"Thomas Dolby: For pure pleasure please welcome the lovely, the delectable, and the bilingual Rachelle Garniez. (Applause) (Bells) (Trumpet) Rachelle Garniez: ♫ Quand il me prend dans ses bras ♫ ♫ Il me parle tout bas, ♫ ♫ Je vois la vie en rose. ♫ ♫ Il me dit des mots d'amour, ♫ ♫ Des mots de tous les jours, ♫ ♫ Et ca me fait quelque chose. ♫ ♫ Il est entre dans mon coeur ♫ ♫ Une part de bonheur ♫ ♫ Dont je connais la cause. ♫ ♫ C'est lui pour moi. Moi pour lui ♫ ♫ Dans la vie, ♫ ♫ Il me l'a dit, l'a jure [pour] la vie. ♫ ♫ Et des que je l'apercois ♫ ♫ Alors je sens en moi ♫ ♫ Mon coeur qui bat ♫ (Applause)","Thomas Dolby: For pure pleasure please welcome the lovely, the delectable, and the bilingual Rachelle Garniez. (Applause) (Bells) (Trumpet)","Featuring the vocals and mischievous bell-playing of accordionist and singer Rachelle Garniez, the TED House Band -- led by Thomas Dolby on keyboard -- delivers this delightful rendition of the Edith Piaf standard ""La Vie en Rose."""
107,"Tourist: I think that people are very frustrated that they're not able to get closer to see what's going on. So we tried to come up with a way, as a group, to have a kind of design SWAT team. So we said, what is -- KA: It was not an inclusive group? And the city actually -- through Tim Zagat initially, and then through Christyne Nicholas, then we got to Giuliani -- said, ""You know we don't want to do anything with Pier 94 right now, but we have an observation platform for the families down at Ground Zero that we'd like to be a more dignified experience for the families, and a way to protect it from the weather."" And I remembered on September 11th, on 14th Street, the roof of our building -- we can see the World Trade Towers prominently -- and I saw the first building collapse from a conference room on the eighth floor on a TV that we had set up. So we went back to the city and said we're not particularly interested in the upgrade of this as a VIP platform, but we've spent some time down there. And we also, frankly, knew that if it didn't happen by the end of the Giuliani administration, then everyone who we were dealing with at the DOT and the Police Department and all of the -- we were meeting with 20 or 30 people with the city at a time, and it was set up by the Office of Emergency Management. So the first thing we had to do was find a way to get this -- we had to work with the families of the victims, through the city, to make sure that they knew this was happening. And I think this was the 21st, and we knew this had to be built and up by the 28th. There was no sense of the fact that this is next to Saint Paul -- that this is really a place that needs to be kind of dignified, and a place to reflect and remember. And I think people were amazed at two things -- I think they were amazed at the destruction, but I think there was a sense of disbelief about the heroics of New Yorkers that I found very moving. DR: Well here's the issue: we knew that this was not in the sense of -- we think about the site, and think about the need for a memorial. DR: No, I don't think so. What's interesting now is the nature of the site has totally changed, so that what you're aware of is not just the destruction of the buildings in Ground Zero, but all of the buildings around it -- and the scars on the building around it, which are enormous. DR: It was an honor to do.","Tourist: I think that people are very frustrated that they're not able to get closer to see what's going on. The city actually -- through Tim Zagat initially, and then through Christyne Nicholas, then we got to Giuliani -- said, ""You know we don't want to do anything with Pier 94 right now"" ankly, knew that if it didn't happen by the end of the Giuliani administration, then everyone who we were dealing with at the DOT and the Police Department and all of the -- we were meeting with 20 or 30 people with the city at a time, and it was set up by the Office of Emergency Management. So the first thing we had to do was find a way to get this. We had to work with the families of the victims, through the city, to make sure that they knew this was happening. bout the need for a memorial. DR: No, I don't think so. What's interesting now is the nature of the site has totally changed, so that what you're aware of is not just the destruction of the buildings in Ground Zero.","In this emotionally charged conversation with journalist Kurt Andersen, designer David Rockwell discusses the process of building a viewing platform at Ground Zero shortly after 9/11."
108,"So what that meant was, when I went down to Fort Dix, I had to hop out in front of 180 guys and tell them of my vision. Soldiers: IV! SP: You don't put 150,000 troops in there, and say we're there to create democracy. There they are! And you know, Paul was talking, and he then turned to Constance and said, ""You know, I wouldn't have this conversation if she weren't here, because I know she has my back."" So, I wanted to say, Paul, I'm happy you're here, because I know you have my back. So I wanted to show you a clip, and then I was going tell you a little bit of how it got put together. So you get to experience that in real time, right? Now, the news footage I put in there to try to show -- you know, I think mainstream media tries to do the best they can in the format that they have. But the thing that I know you all have heard a lot of times, American soldiers saying, ""Why don't they talk about the good stuff that we do?"" And we have to be able to go into scary places where we may, you know, we think we know. And for me, one of the most profound stories someone shared with me, that then became my story, was -- for those of you who haven't seen the film, and it's not a spoiler -- it's very common there are a lot of civilian accidents, where people get in front of Humvees and they get killed. So when I talk about a disconnect, it's not only for maybe those people who don't know a soldier, which there obviously are. You can go for days here and not feel like there's a war going on. And I would just say it's my hope, and I would ask you guys to please, you know, reach out a hand.","""I'm happy you're here, because I know you have my back,"" she says to Paul. ""We have to be able to go into scary places where we may, you know, we think we know"" ""You can go for days here and not feel like there's a war going on,"" he says. ""I would just say it's my hope, and I would ask you guys to please, you know, reach out a hand""","Filmmaker Deborah Scranton talks about and shows clips from her documentary The War Tapes, which puts cameras in the hands of soldiers fighting in Iraq."
109,"I was having lunch with him just a few minutes ago, and a Nigerian journalist comes -- and this will only make sense if you've ever watched a James Bond movie -- and a Nigerian journalist comes up to him and goes, ""Aha, we meet again, Mr. (Laughter) Like, what have I got to say about all this? Which it isn't really, is it? What we know about how to be who we are comes from stories. If you want to know about Africa, read our literature -- and not just ""Things Fall Apart,"" because that would be like saying, ""I've read 'Gone with the Wind' and so I know everything about America."" So, you know, the thing is to remember that because otherwise, 10 years from now, we'll be back here trying to tell this story again. So, what it says to me then is that it's not really -- the problem isn't really the stories that are being told or which stories are being told, the problem really is the terms of humanity that we're willing to bring to complicate every story, and that's really what it's all about. It makes sense now when I think about it, because if you'd known my father, you would've wanted to poison him too. I grew up very privileged, and it's important to talk about privilege, because we don't talk about it here. Now for those of you who have seen me at the buffet tables know that it was because it was costing them too much to feed me. To be so afraid that you're standing in the face of a death you can't escape and that you're soiling yourself and crying, but to say in that moment, as Fraser says to Idris, ""Tell my girlfriend I love her."" It wasn't until later, when I was imprisoned again, that I understood the real meaning of torture, and how easy your humanity can be taken from you, for the time I was engaged in war, righteous, righteous war. There are no answers. And the truth be told, this is it, isn't it? I want to believe that we can be agnostic about this, that we can rise above all of this.","I was having lunch with him just a few minutes ago, and a Nigerian journalist comes up to him. What we know about how to be who we are comes from stories. If you want to know about Africa, read our literature -- and not just ""Things Fall Apart"" I grew up very privileged, and it's important to talk about privilege, because we don't talk about it here. I think about it, because if you'd known my father, you would've wanted to poison him too. It wasn't until later, when I was imprisoned again, that I understood the real meaning of torture. There are no answers. And the truth be told, this is it, isn't it?","In this deeply personal talk, Nigerian writer Chris Abani says that ""what we know about how to be who we are"" comes from stories. He searches for the heart of Africa through its poems and narrative, including his own."
110,"And they go over all this -- I'm going to try to be a little more serious this year in showing you how things really changed. And this is where we are today. And this was 2007. We have a function here -- I can tell the world, ""Stay where you are."" But we have to bring United States forward quite a while to find the same health of the United States as we have in the Philippines. I think we have to go, there -- we have 2001, or 2002 -- the United States has the same health as Chile. This is really a change, that you have this lag of more or less 30, 40 years' difference on the health. And this is the same thing, money down there, and health, you know? And this is my family. And there we are, 2001. And if you really want to see the difference, you look at the toilet over here. You can do this. We have to know a little more about the world. But you can do that. We can have a good world.","""We have to bring United States forward quite a while to find the same health of the United States as we have in the Philippines,"" he says. ""If you really want to see the difference, you look at the toilet over here""","Researcher Hans Rosling uses his cool data tools to show how countries are pulling themselves out of poverty. He demos Dollar Street, comparing households of varying income levels worldwide. Then he does something really amazing."
111,"But this is about Africa, the story we have not heard. A part of my talk is going to be about investment opportunities that exist on this continent, to separate the rhetoric from the reality, the fact from the fiction. To go to the actual data and statistics that exist about the actual things that are happening on the ground that make Africa a realistic investment opportunity and option for you. The lesson from that was that it was Africa -- an African story -- that was used to share news with the rest of the world of what the benchmark can be for corporate turnarounds. And the Siwa Oasis is famous for several things, but the key thing is that it was the place that Alexander the Great went to when he wanted to find out what his destiny had in store for him. With no natural light source, Siva is one of these amazing places that when you look up you see a perfect tapestry. And while Africa may be dark, the thing that brought the message home to me was that this is the challenge we are facing, but it's also the opportunity. Because whilst Africa may be dark -- other than the few specks that exist north and in the south and other areas -- it's aglow with the light in the hearts of the millions of people that are there. More fascinating, you have other countries -- South Africa, Mauritius, Namibia -- all in single digits. And the first myth to dispel is that Africa is not a country. But the story of Africa, and my focus, is beyond South Africa because there's so much happening. What's going on in Nigeria? I want to talk about it from the perspective of capital markets. Let's go back to Nigeria. This time [I'll] give you the entire picture that I saw in 2002, and ask you that when you think about what your role can be in Africa, think about your journey in terms of bringing light to this continent.","But this is about Africa, the story we have not heard. A part of my talk is going to be about investment opportunities that exist on this continent. The Siwa Oasis is famous for several things, but the key thing is that it was the place that Alexander the Great went to when he wanted to find out what his destiny had in store for him. The first myth to dispel is that Africa is not a country. The story of Africa, and my focus, is beyond South Africa because there's so much happening. What's going on in Nigeria? I want to talk about it from the perspective of capital markets.",South African investment banker Euvin Naidoo explains why investing in Africa can make great business sense.
112,"We all have come from a long way, here in Africa, and converged in this region of Africa, which is a place where 90 percent of our evolutionary process took place. And I say that not because I am African, but it's in Africa that you find the earliest evidence for human ancestors, upright walking traces, even the first technologies in the form of stone tools. Because it's only when you do that, that you can talk about -- (Laughter) -- it's only when you do that, [that] you can talk about how we looked like and how we behaved at different times, and how those likes and looks and behaviors changed through time. (Laughter) And you find nothing for years and years. Of course, they cannot, but I'm telling you already that the environment and the carrying capacity of this region was drastically different from what we have today. They would find a bone and tell me, ""Here is what you're looking for."" In a way, this was like the second birth for the child, after 3.3 million years, but the labor was very long. But to do that, you need the permanent dentition, which you don't see here, because what you have here are the baby teeth. And to know how old she was when she died, what you do is you do an informed estimate, and you say, how much time would be required to form this amount of teeth, and the answer was three. So, with all that information, the big question is -- what do we actually -- what does she tell us? What do we actually know about our ancestors? It's a bone which is right here. It was not known in the fossil record, and we have it in this skeleton. Of course, in addition to extracting this huge amount of scientific information as to what makes us human, you know, the many human ancestors that have existed over the past six million years -- and there are more than 10 -- they did not have the knowledge, the technology and sophistications that we, Homo sapiens, have today. So finally, I would like to say, so let's help Africa walk upright and forward, then we all can be proud of our future legacy as a species.","We all have come from a long way, here in Africa, and converged in this region of Africa, which is a place where 90 percent of our evolutionary process took place. It's in Africa that you find the earliest evidence for human ancestors, upright walking traces. The skeleton of an early human ancestor was found in Africa. The bones reveal a wealth of information about our ancestors, including how long it would take to form teeth.",Paleoanthropologist Zeresenay Alemseged looks for the roots of humanity in Ethiopia's badlands. Here he talks about finding the oldest skeleton of a humanoid child -- and how Africa holds the clues to our humanity.
113,"So you're out in the woods, or you're out in the pasture, and you see this ant crawling up this blade of grass. What's in it for the ant? Well then, why is it doing this? These are just a few of the ideas that are to die for. But it's everybody's idea now. And he's not responsible for what I say about memes. So it is important, I think, to Richard, and to me, that these ideas not be abused and misused. We don't have much time, and I'm going to go over just a little bit of this and cut out, because there's a lot of other things that are going to be said. And you might think, ""Well, how can that be? And that's what a meme is. If they are, words are memes that can be pronounced. And they just wiped out -- these pathogens just wiped out the native people, who had no immunity to them at all. Yesterday, a number of people -- Nicholas Negroponte and others -- spoke about all the wonderful things that are happening when our ideas get spread out, thanks to all the new technology all over the world. But we should recognize that for many people in the world, they are a big deal. As we spread our education and our technology, one of the things that we are doing is we're the vectors of memes that are correctly viewed by the hosts of many other memes as a dire threat to their favorite memes -- the memes that they are prepared to die for.","""Memes"" are ideas that are to die for, he says. ""It is important, I think, to Richard, and to me, that these ideas not be abused and misused"" nize that for many people in the world, they are a big deal. As we spread our education and our technology, one of the things that we are doing is we're the vectors of memes that are correctly viewed by the hosts of many other memes.","Starting with the simple tale of an ant, philosopher Dan Dennett unleashes a devastating salvo of ideas, making a powerful case for the existence of memes -- concepts that are literally alive."
114,"Think African governments will put together a conference like this? The Cheetah Generation is a new breed of Africans who brook no nonsense about corruption. They're not going to wait for government to do things for them. Did you know that 40 percent of the wealth created in Africa is not invested here in Africa? There is the people, and then there is the government or leaders. The second false premise that we make when we're trying to help Africa is that sometimes we think that there is something called a government in Africa that cares about its people, serves the interests of the people, and represents the people. The third fundamental issue that we have to recognize is that if we want to help the African people, we must know where the African people are. Now the modern sector, of course, is where a lot of the development aid and resources went into. The other sectors, the informal and the traditional sectors, are where you find the majority of the African people, the real people in Africa. But that's not what we did. Now, this is what I have described to you. They don't take any orders from their chiefs. So, in a nutshell, what we had in traditional Africa was a free-market system. Now, it is not just this informal sector. We also need to mobilize Africans in the Diaspora, not only to go into the traditional sectors, but to go into agriculture and also to instigate change from within.","Think African governments will put together a conference like this? The Cheetah Generation is a new breed of Africans who brook no nonsense about corruption. 40 percent of the wealth created in Africa is not invested here in Africa. There is the people, and then there is the government or leaders. what we did. They don't take any orders from their chiefs. So, in a nutshell, what we had in traditional Africa was a free-market system. We also need to mobilize Africans in the Diaspora.","Ghanaian economist George Ayittey unleashes a torrent of controlled anger toward corrupt leaders in Africa -- and calls on the ""Cheetah generation"" to take back the continent."
115,"And the importance of that is that we have a platform to build on. So I'm not going to spend too much time -- just to show you, refresh your memories that we are here for ""Africa: the Next Chapter"" because for the first time there really is a platform to build on. So let's not forget that it's taken a lot to build this, including all those things that we tried to do in Nigeria that Dele referred to. We need to bring it back to say, what is the combination of all these factors that is going to yield what we want? She was three years old and I was 15. It didn't look like it was going to work. They didn't say, ""No, you know, we're not going to take this."" My frustration is if they can build infrastructure in Spain -- which is roads, highways, other things that they can build -- I say then, why do they refuse to use the same aid to build the same infrastructure in our countries? But I fear -- and I'm very grateful to all of them for what they are trying to do on the continent -- but I'm also worried. And we don't do it because there are so many of us. And what is disappointing me is that we are not doing this. That is all aid can be. If you tell them, ""We need a road here,"" they will help you build it. (Applause) A lot has been said here about women, I don't need to repeat it. So take away from here is how are you going to put together the resources to put money in the hands of women in the middle who are ready -- business people who want to expand and create more jobs.","""For the first time there really is a platform to build on,"" he says. ""Let's not forget that it's taken a lot to build this, including all those things that we tried to do"" ""What is disappointing me is that we are not doing this,"" Obama says. ""If you tell them, ""We need a road here,"" they will help you build it,"" she adds.","Ngozi Okonjo-Iweala, the former finance minister of Nigeria, sums up four days of intense discussion on aid versus trade on the closing day of TEDGlobal 2007, and shares a personal story explaining her own commitment to this cause."
116,"You will recall that in 1976, June 16, the students of South Africa boycotted the language of Afrikaans as the medium of the oppressor, as they were sort of like really told that they must do everything in Afrikaans -- biology, mathematics -- and what about our languages? And I used to run away from home, when I know that maybe the police might be coming around the ninth or 10th of June or so. And my grandmother one time said, ""No, look, you’re not going to run away. This is your place, you stay here."" And indeed, the police came -- because they’ll just arrest us and put us in jail and release us whenever they feel like, after the 20th or so. So it was on the 10th of June, and they came, and they surrounded the house, and my grandmother switched off all the lights in the house, and opened the kitchen door. (Applause) (Music) ♫ Thula Mama, Thula Mama, Thula Mama, Thula Mama. ♫ ♫ Through the mist of the tears in your eyes on my childhood memory, ♫ ♫ I know the truth in your smile, ♫ ♫ I know the truth in your smile, ♫ ♫ piercing through the gloom of my ignorance. ♫ ♫ Oh, there is a mama lying down sleeping ♫ ♫ you're very ill and your heart crying. ♫ ♫ Tomorrow it's going to be better to climb, Mama. ♫ ♫ So who are they who says, no more love poems now? ♫ ♫ I want to sing a song of love ♫ ♫ for that woman who jumped the fences pregnant ♫ ♫ and still gave birth to a healthy child. ♫ ♫ Softly I walk into the sun rays of the smile ♫ ♫ that will ignite my love song, my song of life, ♫ ♫ my song of love, my song of life, my song of love, ♫ ♫ my song of life, my song of love, my song of life. My song of -- a love song, my song of life. A love song, my song of life.","You will recall that in 1976, June 16, the students of South Africa boycotted the language of Afrikaans as the medium of the oppressor. And I used to run away from home, when I know that maybe the police might be coming around the ninth or 10th of June or so. And indeed, the police came -- because they’ll just arrest us and put us in jail and release us whenever they feel like. mile, ♫ ♫ piercing through the gloom of my ignorance. I want to sing a song of love for that woman who jumped the fences pregnant. A love song, my song of life.","South African singer-songwriter Vusi Mahlasela dedicates his song, ""Thula Mama,"" to all women -- and especially his grandmother."
117,"And I feel like this whole evening has been very amazing to me. The old fogeys don't come because they're mad at Buddha, because when he came to their city he accepted -- he always accepts the first invitation that comes to him, from whoever it is, and the local geisha, a movie-star sort of person, raced the elders of the city in a chariot and invited him first. And then Leilei -- I know his other name -- told us about interconnection, and how we're all totally interconnected here, and how we've all known each other. Because in a way, if a TEDster relates to all the interconnectedness of all the computers and everything, it's the forging of a mass awareness, of where everybody can really know everything that's going on everywhere in the planet. And therefore it will become intolerable -- what compassion is, is where it will become intolerable for us, totally intolerable that we sit here in comfort and in pleasure and enjoying the life of the mind or whatever it is, and there are people who are absolutely riddled with disease and they cannot have a bite of food and they have no place, or they're being brutalized by some terrible person and so forth. When you do that, you're forced to feel what they feel. So I'm like that. When you're no longer locked in yourself, and as the wisdom or the intelligence or the scientific knowledge of the nature of the world, that enables you to let your mind spread out, and empathize, and enhance the basic human ability of empathizing, and realizing that you are the other being, somehow by that opening, you can see the deeper nature of life. It's really too boring whether you feel like this or like that, or what, you know -- and the more you focus on how you feel, by the way, the worse it gets. So I said, ""Well, you know, you're all in this yourself. But of course, what you said, I think the key to saving the world, the key to compassion is that it is more fun. Because when you open up like that, then you can't just -- what good does it do to add being miserable with others' misery? But he could memorize all the needs of all the beings that he is, he will, he did. I'm going to think of how other people can be happy. And the first person who gets happy when you do that, you don't do anything for anybody else, but you get happier, you yourself, because your whole perception broadens and you suddenly see the whole world and all of the people in it.","TEDster: ""What compassion is, is where it will become intolerable for us"" ""It's the forging of a mass awareness, of where everybody can really know everything that's going on everywhere"" led with disease and they cannot have a bite of food and they have no place, or they're being brutalized by some terrible person and so forth. When you do that, you're forced to feel what they feel. So I'm like that. But he could memorize all the needs of all the beings that he is, he will, he did. I'm going to think of how other people can be happy. And the first person who gets happy when you do that, you don't do anything for anybody else, but you get happier, you yourself.","In our hyperlinked world, we can know anything, anytime. And this mass enlightenment, says Buddhist scholar Bob Thurman, is our first step toward Buddha nature."
118,"Images like this, from the Auschwitz concentration camp, have been seared into our consciousness during the 20th century and have given us a new understanding of who we are, where we've come from and the times we live in. Also on the millennium scale, we can look at the way of life of early civilizations, such as the ones described in the Bible. If you see any virgins, then you can keep them alive so that you can rape them. Now, although we don't have statistics for warfare throughout the Middle Ages to modern times, we know just from conventional history that the evidence was under our nose all along that there has been a reduction in socially sanctioned forms of violence. Even in the year scale, one can see a decline of violence. (Laughter) So the question is: Why are so many people so wrong about something so important? I think there are a number of reasons. That's a process that seems to be continuing, but if it outstrips behavior by the standards of the day, things always look more barbaric than they would have been by historic standards. No one really knows, but I have read four explanations, all of which, I think, have some grain of plausibility. And so on. Eisner -- the man who plotted the homicide rates that you failed to see in the earlier slide -- argued that the timing of the decline of homicide in Europe coincided with the rise of centralized states. The logic of the Golden Rule -- the more you think about and interact with other people, the more you realize that it is untenable to privilege your interests over theirs, at least not if you want them to listen to you. but also, ""What have we been doing right?"" Because we have been doing something right, and it sure would be good to find out what it is. But clearly, as far as they're concerned, this is just an alien being that does not have feelings akin to their own.","Images like this, from the Auschwitz concentration camp, have been seared into our consciousness during the 20th century. Also on the millennium scale, we can look at the way of life of early civilizations, such as the ones described in the Bible. Even in the year scale, one can see a decline of violence. CNN's John Sutter looks at the decline of homicide in Europe. He says there are four possible explanations for the decline. Sutter: It would be good to find out what we have been doing right.","Steven Pinker charts the decline of violence from Biblical times to the present, and argues that, though it may seem illogical and even obscene, given Iraq and Darfur, we are living in the most peaceful time in our species' existence."
119,"I don't think there's been a mission like that in a long time. This gadget you see right here was called the digital wall mapper, and it produced the first three-dimensional map anybody has ever done of a cave, and it happened to be underwater in Wakulla Springs. Now we have to get through the ice. And as the movie says, this is one smart puppy. This is part of DEPTHX's mission. There are more stages involved here than I've got time to tell you about, but basically we drive through the space, we populate it with environmental variables -- sulphide, halide, things like that. The next thing we need are places to stay on orbit. It's not going to look like that. And the first thing is everything you do in space you pay by the kilogram. There is a place where you can. In fact, you can get it better -- you can get it at 14 times lower if you can find propellant on the moon. We can do it because in space there are no aerodynamics. And we can extend that now to just about everything. The traditional approach to space exploration has been that you carry all the fuel you need to get everybody back in case of an emergency. This is not like that.","I don't think there's been a mission like that in a long time. This gadget you see right here was called the digital wall mapper. It produced the first three-dimensional map anybody has ever done of a cave. Now we have to get through the ice. The usual practice is that you carry all the fuel you need in case of an emergency. This is not like that. This time, we have the fuel we need to get everybody back.","Bill Stone, a maverick cave explorer who has plumbed Earth's deepest abysses, discusses his efforts to mine lunar ice for space fuel and to build an autonomous robot for studying Jupiter's moon Europa."
